Team,Pos.,FIFA Popular Name,Birth Date,Age,Shirt Name,Club,Height,Weight
Argentina,GK,GUZMAN Nahuel,10/02/1986,32,GUZMÁN,Tigres UANL (MEX),192,90
Argentina,DF,MERCADO Gabriel,18/03/1987,31,MERCADO,Sevilla FC (ESP),181,81
Argentina,DF,TAGLIAFICO Nicolas,31/08/1992,25,TAGLIAFICO,AFC Ajax (NED),169,65
Argentina,DF,ANSALDI Cristian,20/09/1986,31,ANSALDI,Torino FC (ITA),181,73
Argentina,MF,BIGLIA Lucas,30/01/1986,32,BIGLIA,AC Milan (ITA),175,73
Argentina,DF,FAZIO Federico,17/03/1987,31,FAZIO,AS Roma (ITA),199,85
Argentina,MF,BANEGA Ever,29/06/1988,29,BANEGA,Sevilla FC (ESP),175,73
Argentina,DF,ACUNA Marcos,28/10/1991,26,ACUÑA,Sporting CP (POR),172,77
Argentina,FW,HIGUAIN Gonzalo,10/12/1987,30,HIGUAÍN,Juventus FC (ITA),184,75
Argentina,FW,MESSI Lionel,24/06/1987,30,MESSI,FC Barcelona (ESP),170,72
Argentina,MF,DI MARIA Angel,14/02/1988,30,DI MARÍA,Paris Saint-Germain FC (FRA),178,75
Argentina,GK,ARMANI Franco,16/10/1986,31,ARMANI,CA River Plate (ARG),189,85
Argentina,MF,MEZA Maximiliano,15/12/1992,25,MEZA,CA Independiente (ARG),180,76
Argentina,DF,MASCHERANO Javier,08/06/1984,34,MASCHERANO,Hebei China Fortune FC (CHN),174,73
Argentina,MF,LANZINI Manuel,15/02/1993,25,LANZINI,West Ham United FC (ENG),167,66
Argentina,DF,ROJO Marcos,20/03/1990,28,ROJO,Manchester United FC (ENG),189,82
Argentina,DF,OTAMENDI Nicolas,12/02/1988,30,OTAMENDI,Manchester City FC (ENG),181,81
Argentina,DF,SALVIO Eduardo,13/07/1990,27,SALVIO,SL Benfica (POR),167,69
Argentina,FW,AGUERO Sergio,02/06/1988,30,AGÜERO,Manchester City FC (ENG),172,74
Argentina,MF,LO CELSO Giovani,09/04/1996,22,LO CELSO,Paris Saint-Germain FC (FRA),177,75
Argentina,FW,DYBALA Paulo,15/11/1993,24,DYBALA,Juventus FC (ITA),177,73
Argentina,MF,PAVON Cristian,21/01/1996,22,PAVÓN,CA Boca Juniors (ARG),169,65
Argentina,GK,CABALLERO Wilfredo,28/09/1981,36,CABALLERO,Chelsea FC (ENG),186,80
Australia,GK,RYAN Mathew,08/04/1992,26,RYAN,Brighton & Hove Albion FC (ENG),184,82
Australia,DF,DEGENEK Milos,28/04/1994,24,DEGENEK,Yokohama F-Marinos (JPN),187,85
Australia,DF,MEREDITH James,05/04/1988,30,MEREDITH,Millwall FC (ENG),179,71
Australia,FW,CAHILL Tim,06/12/1979,38,CAHILL,Millwall FC (ENG),180,76
Australia,DF,MILLIGAN Mark,04/08/1985,32,MILLIGAN,Al Ahli SC (KSA),178,78
Australia,DF,JURMAN Matthew,08/12/1989,28,JURMAN,Suwon Samsung Bluewings FC (KOR),190,83
Australia,FW,LECKIE Mathew,04/02/1991,27,LECKIE,Hertha BSC (GER),181,84
Australia,MF,LUONGO Massimo,25/09/1992,25,LUONGO,Queens Park Rangers FC (ENG),176,76
Australia,FW,JURIC Tomi,22/07/1991,26,JURIC,FC Luzern (SUI),190,80
Australia,FW,KRUSE Robbie,05/10/1988,29,KRUSE,VfL Bochum (GER),180,66
Australia,FW,NABBOUT Andrew,17/12/1992,25,NABBOUT,Urawa Reds (JPN),178,85
Australia,GK,JONES Brad,19/03/1982,36,JONES,Feyenoord Rotterdam (NED),193,87
Australia,MF,MOOY Aaron,15/09/1990,27,MOOY,Huddersfield Town FC (ENG),173,72
Australia,FW,MacLAREN Jamie,29/07/1993,24,MACLAREN,Hibernian FC (SCO),178,72
Australia,MF,JEDINAK Mile,03/08/1984,33,JEDINAK,Aston Villa FC (ENG),188,78
Australia,DF,BEHICH Aziz,16/12/1990,27,BEHICH,Bursaspor (TUR),170,63
Australia,FW,ARZANI Daniel,04/01/1999,19,ARZANI,Melbourne City FC (AUS),171,73
Australia,GK,VUKOVIC Danny,27/03/1985,33,VUKOVIC,KRC Genk (BEL),187,94
Australia,DF,RISDON Joshua,27/07/1992,25,RISDON,WS Wanderers FC (AUS),169,70
Australia,DF,SAINSBURY Trent,05/01/1992,26,SAINSBURY,Grasshopper Club (SUI),183,76
Australia,FW,PETRATOS Dimitrios,10/11/1992,25,PETRATOS,Newcastle United Jets FC (AUS),176,72
Australia,MF,IRVINE Jackson,07/03/1993,25,IRVINE,Hull City FC (ENG),180,77
Australia,MF,ROGIC Tom,16/12/1992,25,ROGIC,Celtic FC (SCO),189,88
Belgium,GK,COURTOIS Thibaut,11/05/1992,26,COURTOIS,Chelsea FC (ENG),199,91
Belgium,DF,ALDERWEIRELD Toby,02/03/1989,29,ALDERWEIRELD,Tottenham Hotspur FC (ENG),186,81
Belgium,DF,VERMAELEN Thomas,14/11/1985,32,VERMAELEN,FC Barcelona (ESP),183,80
Belgium,DF,KOMPANY Vincent,10/04/1986,32,KOMPANY,Manchester City FC (ENG),190,85
Belgium,DF,VERTONGHEN Jan,24/04/1987,31,VERTONGHEN,Tottenham Hotspur FC (ENG),189,86
Belgium,MF,WITSEL Axel,12/01/1989,29,WITSEL,Tianjin Quanjian FC (CHN),186,73
Belgium,MF,DE BRUYNE Kevin,28/06/1991,26,DE BRUYNE,Manchester City FC (ENG),181,70
Belgium,MF,FELLAINI Marouane,22/11/1987,30,FELLAINI,Manchester United FC (ENG),194,85
Belgium,FW,LUKAKU Romelu,13/05/1993,25,R. LUKAKU,Manchester United FC (ENG),190,94
Belgium,FW,HAZARD Eden,07/01/1991,27,E. HAZARD,Chelsea FC (ENG),173,74
Belgium,MF,CARRASCO Yannick,04/09/1993,24,CARRASCO,Dalian Yifang FC (CHN),180,67
Belgium,GK,MIGNOLET Simon,06/03/1988,30,MIGNOLET,Liverpool FC (ENG),193,87
Belgium,GK,CASTEELS Koen,25/06/1992,25,CASTEELS,VfL Wolfsburg (GER),197,86
Belgium,FW,MERTENS Dries,06/05/1987,31,MERTENS,SSC Napoli (ITA),169,61
Belgium,DF,MEUNIER Thomas,12/09/1991,26,MEUNIER,Paris Saint-Germain FC (FRA),190,88
Belgium,MF,HAZARD Thorgan,29/03/1993,25,T. HAZARD,VfL Borussia Mönchengladbach (GER),174,70
Belgium,MF,TIELEMANS Youri,07/05/1997,21,TIELEMANS,AS Monaco (FRA),176,72
Belgium,FW,JANUZAJ Adnan,05/02/1995,23,JANUZAJ,Real Sociedad (ESP),180,75
Belgium,MF,DEMBELE Moussa,16/07/1987,30,DEMBELE,Tottenham Hotspur FC (ENG),185,82
Belgium,DF,BOYATA Dedryck,28/11/1990,27,BOYATA,Celtic FC (SCO),188,84
Belgium,FW,BATSHUAYI Michy,02/10/1993,24,BATSHUAYI,Borussia Dortmund (GER),185,78
Belgium,MF,CHADLI Nacer,02/08/1989,28,CHADLI,West Bromwich Albion FC (ENG),187,85
Belgium,DF,DENDONCKER Leander,15/04/1995,23,DENDONCKER,RSC Anderlecht (BEL),188,76
Brazil,GK,ALISSON,02/10/1992,25,A. BECKER,AS Roma (ITA),193,91
Brazil,DF,THIAGO SILVA,22/09/1984,33,T. SILVA,Paris Saint-Germain FC (FRA),183,79
Brazil,DF,MIRANDA,07/09/1984,33,MIRANDA,FC Internazionale (ITA),186,78
Brazil,DF,PEDRO GEROMEL,21/09/1985,32,GEROMEL,Grêmio FBPA (BRA),190,84
Brazil,MF,CASEMIRO,23/02/1992,26,CASEMIRO,Real Madrid CF (ESP),185,84
Brazil,DF,FILIPE LUIS,09/08/1985,32,FILIPE LUIS,Atletico Madrid (ESP),182,73
Brazil,FW,DOUGLAS COSTA,14/09/1990,27,D. COSTA,Juventus FC (ITA),182,70
Brazil,MF,RENATO AUGUSTO,08/02/1988,30,R. AUGUSTO,Beijing Guoan (CHN),186,86
Brazil,FW,GABRIEL JESUS,03/04/1997,21,G. JESUS,Manchester City FC (ENG),175,73
Brazil,FW,NEYMAR,05/02/1992,26,NEYMAR JR,Paris Saint-Germain FC (FRA),175,68
Brazil,MF,PHILIPPE COUTINHO,12/06/1992,26,P. COUTINHO,FC Barcelona (ESP),172,68
Brazil,DF,MARCELO,12/05/1988,30,MARCELO,Real Madrid CF (ESP),174,80
Brazil,DF,MARQUINHOS,14/05/1994,24,MARQUINHOS,Paris Saint-Germain FC (FRA),183,75
